matrix,source_model,model_key,source_layer,layer_group,transformer_block,module,shape_family,method,pruning_family,target_sparsity,pruning_block_size,rows,cols,nnz,realized_sparsity,mask_sha256_16,activation_calibration
qwen25_3b_l00_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,f53876958e2bf38b,
qwen25_3b_l00_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,d95cff14748a66ea,qwen25_activation_rms_16prompts.npz
qwen25_3b_l00_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,b474b69ab6d992fe,
qwen25_3b_l00_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,5474290a7f9fad04,qwen25_activation_rms_16prompts.npz
qwen25_3b_l00_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,9cc926063bf85559,
qwen25_3b_l00_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.o_proj.weight,qwen25_3b_block_00,0,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,a718f1d3f26816be,qwen25_activation_rms_16prompts.npz
qwen25_3b_l00_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,a3f4bd6be8b23422,
qwen25_3b_l00_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,98d23ecd63779c87,qwen25_activation_rms_16prompts.npz
qwen25_3b_l00_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,62d4768ce1933257,
qwen25_3b_l00_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,eabd1cdf82333e7a,qwen25_activation_rms_16prompts.npz
qwen25_3b_l00_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,a14fc511e1b354f9,
qwen25_3b_l00_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.0.self_attn.q_proj.weight,qwen25_3b_block_00,0,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,8debc8c52c9f7aa9,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,f31a7d9184e9d91b,
qwen25_3b_l05_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,3b8489c9798b16fa,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,d09b85c9ebd07011,
qwen25_3b_l05_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,01968d308801c3f8,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,9be1ed1a0d6f1ca1,
qwen25_3b_l05_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.o_proj.weight,qwen25_3b_block_05,5,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,fd89fb9c5894d4e2,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,59bb40e781974b5a,
qwen25_3b_l05_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,0a3622423bad0b5c,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,6f22a0382ee1cc4c,
qwen25_3b_l05_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,50afc4ec8ca725b3,qwen25_activation_rms_16prompts.npz
qwen25_3b_l05_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,c231b6ed72c71460,
qwen25_3b_l05_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.5.self_attn.q_proj.weight,qwen25_3b_block_05,5,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,58d34b7d1ef4f94d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,ad91d65fcb4b66ff,
qwen25_3b_l10_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,df32ee113e2abf96,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,5b82f943203b8595,
qwen25_3b_l10_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,909ef68ba9023cd0,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,b5bf6185ef66b93c,
qwen25_3b_l10_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.o_proj.weight,qwen25_3b_block_10,10,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,d01bf297dd1cf97f,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,e60bbec214065216,
qwen25_3b_l10_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,ae95cb27b057fc68,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,3463d10679b80791,
qwen25_3b_l10_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,e70785a74f66cac8,qwen25_activation_rms_16prompts.npz
qwen25_3b_l10_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,6c1a3c843f1de690,
qwen25_3b_l10_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.10.self_attn.q_proj.weight,qwen25_3b_block_10,10,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,b283d17555ac444f,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,1ceff7a29bc494da,
qwen25_3b_l15_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,d65da9d5454d7b6b,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,95723209a5c37914,
qwen25_3b_l15_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,821058a106ce71c1,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,867fbf7b513e69c9,
qwen25_3b_l15_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.o_proj.weight,qwen25_3b_block_15,15,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,b6434360cf43335c,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,178e381f32779656,
qwen25_3b_l15_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,00284f94faf268d3,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,645ef6cdf09b51e8,
qwen25_3b_l15_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,a1cf96866f5996d9,qwen25_activation_rms_16prompts.npz
qwen25_3b_l15_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,623825a99b49201b,
qwen25_3b_l15_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.15.self_attn.q_proj.weight,qwen25_3b_block_15,15,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,5ef10f17e9d60ce2,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,db748948caa11951,
